"Year","x","nWx","nNx_total","nLx","B"
1936,68,309540.3,624935.45,53032,NA
1936,69,288472.16,580770.46,50803,NA
1936,70,267556.15,536610.16,48496,NA
1936,71,246903.63,492954.32,46110,NA
1936,72,226630.87,450253.25,43634,NA
1936,73,207367.75,409959.08,41055,NA
1936,74,189672.03,373318.54,38371,NA
1936,75,179789.08,352084.11,35639,NA
1936,76,163550.7,318875.49,32888,NA
1936,77,146486.48,284370.94,30101,NA
1936,78,129560.51,250194.11,27312,NA
1936,79,113255.79,217298.69,24562,NA
1936,80,101690.58,191502.57,21941,NA
1936,81,86547.47,161776.86,19465,NA
1936,82,72933.01,135149.44,17084,NA
1936,83,61030.48,111964.19,14813,NA
1936,84,50759.67,92101.12,12674,NA
1936,85,41941.26,75223.75,10688,NA
1936,86,34349.76,60876.57,8876,NA
1936,87,27706.57,48523.87,7251,NA
1936,88,21954.49,38006.91,5817,NA
1936,89,17070.28,29218.09,4581,NA
1936,90,13027.43,22059.18,3544,NA
1936,91,9840.68,16479.63,2699,NA
1936,92,7357.49,12194.97,2028,NA
1936,93,5449.96,8966.82,1507,NA
1936,94,4031.12,6592.21,1109,NA
1936,95,2967.89,4826.32,798,NA
1936,96,2169.85,3517.07,556,NA
1936,97,1589.61,2560.58,379,NA
1936,98,1184.45,1877.49,252,NA
1936,99,878.64,1365.22,164,NA
1936,100,611.56,939.72,104,NA
1936,101,413.69,638.37,65,NA
1936,102,285.96,438.57,39,NA
1936,103,195,293.77,23,NA
1936,104,127.29,190.57,13,NA
1936,105,81.61,122.02,7,NA
1936,106,51.42,75.79,4,NA
1936,107,32.33,46.51,2,NA
1936,108,19.8,27.97,1,NA
1936,109,11.49,16.15,1,NA
1936,110,14.54,18.64,1,NA
1937,0,960951.06,1959021.2,96144,NA
1937,1,959360.15,1945795.85,94447,NA
1937,2,1026428.61,2078646.07,93903,NA
1937,3,999216.83,2021751.35,93612,NA
1937,4,1021967.24,2065518.57,93404,NA
1937,5,1071294.85,2176618.89,93238,NA
1937,6,1098681.6,2233161.17,93098,NA
1937,7,1115330.61,2267640.79,92974,NA
1937,8,1130375.16,2302049.38,92863,NA
1937,9,1153164.37,2350092.85,92762,NA
1937,10,1176135.2,2391992.24,92669,NA
1937,11,1193903.32,2421750.01,92578,NA
1937,12,1211612.73,2450435.72,92486,71
1937,13,1225859.89,2472239.45,92386,511.2
1937,14,1236619.36,2487581.98,92274,2565.2
1937,15,1240099.84,2488371.26,92145,9541.15
1937,16,1229279.43,2459769.34,91996,26941.66
1937,17,1211604.84,2416012.95,91826,53900.62
1937,18,1193947.39,2372312.01,91637,84584.63
1937,19,1179018.4,2335560.08,91428,110695.54
1937,20,1169162.93,2311336.92,91203,128054.38
1937,21,1163130.53,2296993.34,90964,136934.07
1937,22,1157469.9,2284591.85,90713,143235.05
1937,23,1150330.51,2269680.67,90452,145803.45
1937,24,1140598.82,2249974.63,90182,139416.96
1937,25,1127079.77,2223105.34,89904,132191.12
1937,26,1110328.55,2190170.58,89620,124718.4
1937,27,1092166.05,2154923.63,89329,116839.48
1937,28,1073582.94,2119437.55,89032,110398.39
1937,29,1055083.16,2084529.26,88729,100438.57
1937,30,1037466.16,2051409.23,88422,94426.14
1937,31,1020957.45,2020381.38,88109,75003.41
1937,32,1005015.91,1990548.9,87788,73798.87
1937,33,989087.72,1961018.79,87455,62914.26
1937,34,972617.97,1930871.7,87108,56795.64
1937,35,955105.92,1899313.24,86741,49715.68
1937,36,936595.08,1866448.91,86354,46372.08
1937,37,917380.02,1832587.1,85946,43285.61
1937,38,898551.43,1799701.52,85517,34178.16
1937,39,882916.95,1773355.07,85069,28201.95
1937,40,872542.99,1757643.23,84603,22772.5
1937,41,866081.86,1749800.07,84122,15077.94
1937,42,860850.69,1744302.02,83626,13448.3
1937,43,854515.3,1736426.13,83113,8639.46
1937,44,843697.61,1719676.92,82580,5348.93
1937,45,825944.94,1689284.58,82022,3227.84
1937,46,802752.48,1648140.85,81432,1644.35
1937,47,777535.47,1602751.02,80804,828.36
1937,48,752083.86,1556295.76,80133,419.85
1937,49,726927.31,1508924.01,79414,211.48
1937,50,702236.5,1460173.85,78645,76.98
1937,51,677572.13,1409481.74,77824,30.39
1937,52,652405.19,1356731.25,76953,38.48
1937,53,626999.53,1303031.92,76033,23.3
1937,54,602653.42,1251139.99,75068,12.15
1937,55,580597.93,1203638.22,74062,4
1937,56,560717.72,1160310.27,73016,NA
1937,57,541882.16,1118806.75,71923,NA
1937,58,523191.26,1077352.17,70776,NA
1937,59,504219.71,1035325.47,69564,NA
1937,60,484751.4,992584.07,68276,NA
1937,61,464973.51,949548.67,66902,NA
1937,62,445232.94,906740.27,65434,NA
1937,63,425674.48,864418.9,63866,NA
1937,64,405901.48,822067.7,62190,NA
1937,65,385246.69,778612.71,60397,NA
1937,66,363585.75,733745.56,58488,NA
1937,67,341563.42,688452.17,56470,NA
1937,68,319830.22,643624.94,54356,NA
1937,69,298020.69,598652.9,52163,NA
1937,70,276444.63,553730.38,49900,NA
1937,71,255315.95,509368.68,47567,NA
1937,72,234546.32,465698.14,45148,NA
1937,73,214211.35,423099.71,42622,NA
1937,74,194924.65,382957.77,39972,NA
1937,75,181602.89,354834.86,37229,NA
1937,76,166482.31,323491.96,34437,NA
1937,77,150343.31,290681.2,31616,NA
1937,78,133596.27,257044.97,28797,NA
1937,79,117205.28,224208.45,26016,NA
1937,80,105857.45,198629.75,23366,NA
1937,81,90503.12,168563.64,20861,NA
1937,82,76227.58,140870.57,18444,NA
1937,83,63464.87,116221.99,16118,NA
1937,84,52398.27,94961.79,13899,NA
1937,85,42926.95,76921.75,11812,NA
1937,86,34945.18,61907.85,9884,NA
1937,87,28163.89,49306.34,8139,NA
1937,88,22329.73,38633.74,6593,NA
1937,89,17385.48,29731.32,5254,NA
1937,90,13282.4,22449.18,4125,NA
1937,91,10005.61,16728.1,3198,NA
1937,92,7468.43,12352.91,2454,NA
1937,93,5530.22,9064.65,1868,NA
1937,94,4063.1,6624.96,1413,NA
1937,95,2978.56,4830.22,1044,NA
1937,96,2185.3,3522.66,745,NA
1937,97,1594.63,2563.57,520,NA
1937,98,1171.29,1873.42,356,NA
1937,99,872.54,1372.82,238,NA
1937,100,610.45,944.1,156,NA
1937,101,401.97,617.25,100,NA
1937,102,267.47,412.41,62,NA
1937,103,181.66,278.93,38,NA
1937,104,121.5,183.68,23,NA
1937,105,77.72,117.12,13,NA
1937,106,48.71,73.78,7,NA
1937,107,29.93,44.6,4,NA
1937,108,18.52,26.66,2,NA
1937,109,11.06,15.53,1,NA
1937,110,13.34,17.65,1,NA
1938,0,990579.45,2018918.38,96303,NA
1938,1,964881.06,1956691.41,94762,NA
1938,2,1037225.71,2102980.13,94255,NA
1938,3,1036660.22,2101368.28,93993,NA
