"Year","Cohort","x","B","PY"
1895,1859,36,3186.04,16882.42
1895,1860,34,3355.12,16837.81
1895,1860,35,3379.61,16935.25
1895,1861,33,3171.68,15612.79
1895,1861,34,3222.76,16110.71
1895,1862,32,3442.55,16781.23
1895,1862,33,3426.98,16785.34
1895,1863,31,3676.61,17197.19
1895,1863,32,3611.39,17459.35
1895,1864,30,3672.99,17351.23
1895,1864,31,3872.2,18042.37
1895,1865,29,3579.33,17319.45
1895,1865,30,3679.86,17494.49
1895,1866,28,3593.97,17239.24
1895,1866,29,3729.97,18096.17
1895,1867,27,3176.01,16107.1
1895,1867,28,3434.24,16630.41
1895,1868,26,2648.86,14288.54
1895,1868,27,2936.69,15195.48
1895,1869,25,2935.96,16378.37
1895,1869,26,2958.07,16209.66
1895,1870,24,2699.2,16788.79
1895,1870,25,2959.98,16943.45
1895,1871,23,2640.83,18281.98
1895,1871,24,2838.45,18320.4
1895,1872,22,2155.58,18032.96
1895,1872,23,2505.87,18294.12
1895,1873,21,1728.05,19161.66
1895,1873,22,2110.23,19165.6
1895,1874,20,1302.5,19604.31
1895,1874,21,1610.37,19713.12
1895,1875,19,874.36,20740.26
1895,1875,20,1213.45,20887.35
1895,1876,18,436.48,21340.6
1895,1876,19,732.99,21469.19
1895,1877,17,195.84,22800.79
1895,1877,18,356.31,22865.15
1895,1878,16,58.29,22481.73
1895,1878,17,135.72,22732.75
1895,1879,15,16.37,24192.76
1895,1879,16,40.68,23997.84
1895,1880,14,3.54,23190.12
1895,1880,15,10.35,24132.93
1895,1881,13,0.83,23616.39
1895,1881,14,2.4,23818.6
1895,1882,12,0,23805.86
1895,1882,13,0.16,24918.79
1895,1883,12,0,24790.96
1896,NA,12,0,0
1896,NA,55,0,0
1896,1840,55,0,11705.67
1896,1841,54,0,11407.83
1896,1841,55,0,11324.83
1896,1842,53,0,12187.17
1896,1842,54,0,12091.67
1896,1843,52,0,12005.17
1896,1843,53,0,11912.5
1896,1844,51,0,12812.83
1896,1844,52,0,12715.67
1896,1845,50,2.74,12374
1896,1845,51,0,12289.33
1896,1846,49,8.76,11594.02
1896,1846,50,7.14,11511.5
1896,1847,48,37.25,12001.41
1896,1847,49,12,11938.19
1896,1848,47,90.52,12829.32
1896,1848,48,59.6,12762.91
1896,1849,46,210.79,13833.67
1896,1849,47,121.96,13772.66
1896,1850,45,401.04,13430.42
1896,1850,46,257.65,13340.84
1896,1851,44,658.3,13253.23
1896,1851,45,481.48,13329.43
1896,1852,43,900.15,12481.91
1896,1852,44,749.99,13132.74
1896,1853,42,1372.11,13910.65
1896,1853,43,1081.33,13466.25
1896,1854,41,1784.74,15240.14
1896,1854,42,1594.68,14981.88
1896,1855,40,1955.94,14075.64
1896,1855,41,1753.27,14222.36
1896,1856,39,2138.95,14416.89
