Parity,UR,Education,W
9,2,1,1.8421315
9,2,1,1.4008706
6,2,1,1.1029195
8,1,1,.59758842
2,1,3,.40785956
6,2,1,1.4008706
5,2,1,4.2195501
7,2,1,.76788741
6,2,1,2.1621714
10,2,1,.83234763
3,2,2,.22289351
4,2,1,.65123057
3,2,3,1.1325669
7,2,1,1.8273723
8,2,1,.56509423
7,2,1,.37644199
10,2,1,2.3739443
6,1,2,.14084417
5,2,1,.37270391
1,2,1,1.4872183
10,2,1,.56803179
8,2,1,.14124925
5,2,1,.95267373
8,2,1,1.2665409
7,2,2,.48489237
6,2,1,.19020729
5,2,1,2.6140437
6,2,1,.36177218
6,2,2,.45202088
5,2,1,2.3194633
5,2,1,1.6968986
7,2,1,.60417712
5,2,1,1.1284676
8,2,2,.52222103
5,2,1,.69905388
7,2,1,2.0528197
8,2,1,.15745093
7,2,1,1.2973374
2,1,3,.079637609
8,2,1,1.4008706
5,2,2,.77434653
3,2,1,.56509423
6,2,1,.55225056
7,2,1,1.1819224
6,2,1,.38991773
6,2,1,1.0913377
5,1,2,.90896094
9,2,1,1.0288445
2,2,1,.70073634
6,1,2,.26811847
8,2,1,.40634817
8,2,1,1.3946663
6,2,1,.31565648
8,2,1,.41275373
10,2,1,.29078892
6,2,1,.021719413
5,2,1,4.7609825
7,2,1,1.1429251
7,2,1,.57864398
3,2,1,.30209628
5,2,1,1.0097172
4,2,1,.13399594
6,1,1,.41243243
6,2,1,.68267322
2,1,1,1.7215708
4,2,1,.030382067
5,1,2,.13614342
5,1,2,1.0012212
8,2,1,2.494756
13,2,1,3.1540179
6,2,1,.29601255
2,1,2,.012102932
6,2,2,.52222103
1,2,1,1.0281433
6,2,1,.23571597
5,2,1,1.9266919
8,2,1,.31150228
6,2,1,.10928126
5,2,1,1.240099
6,2,1,.46195301
6,2,1,.57447881
7,2,1,.58386427
7,2,1,.027976003
8,2,1,.56139344
1,2,1,.35175455
7,2,1,.72747141
8,2,1,3.4515879
5,1,2,.18949468
4,1,1,1.2414722
4,2,3,1.4318272
7,2,1,.72200537
4,1,2,.14084417
4,1,2,.40149021
10,2,1,.65376246
7,2,1,.85583138
5,2,1,.64080304
5,2,1,1.3453381
